model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
GBM_grid_1_AutoML_1_20240830_174212_model_57,0.8531962736909734,0.2711470983171562,0.7639492146081771,0.2045454545454545,0.2701185959875521,0.0729640558982864
GBM_grid_1_AutoML_1_20240830_174212_model_65,0.8473069921833173,0.2700393370970874,0.7612732006599424,0.1911607238462362,0.2668597112271291,0.0712141054762267
GBM_grid_1_AutoML_1_20240830_174212_model_44,0.8399721597601456,0.269537733829965,0.7629522291209839,0.1911607238462362,0.2665517357390994,0.0710498278255267
GBM_grid_1_AutoML_1_20240830_174212_model_43,0.8379376806938644,0.2775616583744095,0.757617456005308,0.1906521040796659,0.2700385988802194,0.072920844885192
GBM_grid_1_AutoML_1_20240830_174212_model_51,0.8340828782524895,0.2800533021470065,0.7594271285618116,0.1906521040796659,0.2689347038873419,0.0723258749549722
StackedEnsemble_BestOfFamily_6_AutoML_1_20240830_174212,0.8327444051825676,0.2762106289818282,0.7467742526437322,0.2045454545454545,0.2720600793908136,0.0740166867981357
GBM_grid_1_AutoML_1_20240830_174212_model_88,0.8316736267266303,0.2809232174004842,0.7506769783816888,0.2045454545454545,0.2703324963345549,0.0730796585744721
GBM_grid_1_AutoML_1_20240830_174212_model_31,0.8316736267266303,0.2821126758094619,0.764125633885409,0.2045454545454545,0.2703365014152704,0.0730818239974485
StackedEnsemble_AllModels_5_AutoML_1_20240830_174212,0.8312453153442553,0.3384916607391288,0.7524197652688295,0.2045454545454545,0.2881476795866212,0.0830290852511541
GBM_grid_1_AutoML_1_20240830_174212_model_56,0.8308705428846771,0.2859488863851124,0.7665736132505333,0.1911607238462362,0.2657533467034949,0.0706248412841079
GBM_grid_1_AutoML_1_20240830_174212_model_84,0.8300139201199273,0.2786359184454972,0.7528423462829235,0.1911607238462362,0.2678155549255923,0.0717251714601029
GBM_2_AutoML_1_20240830_174212,0.8294785308919584,0.2787068707578459,0.7598185088095498,0.1987364814219938,0.2687892904567416,0.0722476826642385
GBM_grid_1_AutoML_1_20240830_174212_model_5,0.8285683692044117,0.2727792749102198,0.7570337033852873,0.1969696969696969,0.2670467500321016,0.0713139667027077
GBM_grid_1_AutoML_1_20240830_174212_model_12,0.8274708212870757,0.2828482944033634,0.7594901290978117,0.2045454545454545,0.2714760255743498,0.073699232461645
GBM_4_AutoML_1_20240830_174212,0.8266409679837241,0.2759925113231639,0.7593416063057014,0.1893939393939394,0.2666723791174008,0.0711141577841347
GBM_grid_1_AutoML_1_20240830_174212_model_69,0.8257843452189741,0.2790464429177525,0.7539763914334778,0.1987364814219938,0.2688306356503318,0.0722699106641614
GBM_grid_1_AutoML_1_20240830_174212_model_62,0.8255701895277867,0.2757811562122517,0.7514476959754592,0.1911607238462362,0.2682052235804239,0.0719340419558251
GBM_grid_1_AutoML_1_20240830_174212_model_35,0.825034800299818,0.2767474022204932,0.7505866448420196,0.1969696969696969,0.2677960437782823,0.0717147210632997
GBM_grid_1_AutoML_1_20240830_174212_model_61,0.8244458721490523,0.2782249438778625,0.7537516905196423,0.1969696969696969,0.2684416317517894,0.0720609096575633
GBM_grid_1_AutoML_1_20240830_174212_model_63,0.8244458721490523,0.2791416243093582,0.7541410947115736,0.1911607238462362,0.2675679276771777,0.0715925959214594
GBM_grid_1_AutoML_1_20240830_174212_model_87,0.8244458721490523,0.2863888663739887,0.7523879281107515,0.2045454545454545,0.2724494114600899,0.0742286818049493
GBM_5_AutoML_1_20240830_174212,0.8242584859192632,0.299415774531839,0.743915963238004,0.2045454545454545,0.2766685581074714,0.0765454910452672
